Date,Machine_ID,Maintenance_Type,Technician,Duration (hours),Cost ($),Comments
2025-01-01,M123,Preventive,John Doe,2,150,Routine check-up
2025-01-02,M124,Repair,Jane Smith,4,300,Replaced faulty sensor
2025-01-03,M125,Preventive,Mike Johnson,1,100,Lubricated moving parts
2025-01-04,M126,Inspection,John Doe,3,200,Inspected for wear
2025-01-05,M123,Repair,Jane Smith,5,350,Fixed overheating issue
2025-01-06,M124,Inspection,Mike Johnson,2,180,Checked alignment
2025-01-07,M125,Preventive,John Doe,1,120,Routine inspection
2025-01-08,M126,Repair,Jane Smith,4,310,Repaired broken part
2025-01-09,M123,Preventive,Mike Johnson,3,250,Standard maintenance
2025-01-10,M124,Repair,John Doe,2,160,Replaced worn-out part
